Название,Номер,Степень,Форма обучения,Бюджет или нет,обязательные экзамены,Экзамены на выбор,Экзамены после СПО,Основная информация,Мин. балл бюджет очка,Мин. балл бюджет заочка,Мин. балл бюджет очка-заочка,Мин. балл контракт очка,Мин. балл контракт заочка,Мин. балл контракт очка-заочка,ссылка
Архитектура,07.03.01,Бакалавриат (3++),"Очная, Заочная",Бюджетные и контрактные места,"Математика ,  Профес. исп. ,  Творч. исп. ,  Русский язык , ",-,"Основы цветовой гармонии ,  Профес. исп. ,  Творч. исп. ,  Русский язык , ","Программа:Архитектура. Программа имеет своей целью подготовку к профессиональной деятельности архитекторов, готовых к творческому процессу создания архитектурного произведения, включая предпроектный анализ, выполнение проектных задач, координацию разработки всех разделов проектной документации для строительства или для реконструкции, авторский надзор за строительством архитектурного объекта.Программа подготовки совмещает в учебном процессе теоретические и практические аспекты архитектурного образования, включает в себя художественное, гуманитарное, инженерное и научно-инновационное содержание, необходимое для образования в сфере архитектуры.Архитектурное проектирование Теория архитектуры История архитектуры Методология проектирования Типология зданий Рабочее проектирование Основы теории градостроительства Транспорт в планировке городов Ресурсосберегающие технологии в архитектуре и градостроительстве. Производственную практику студенты проходят в профильных организациях:архитектура, проектирование, дизайн (в сфере архитектурного проектирования).Объектами профессиональной деятельности выпускников, освоивших программу бакалавриата, являются искусственная материально-пространственная среда жизнедеятельности человека и общества с ее компонентами – населенными местами, городской средой, зданиями, сооружениями и их комплексами с системами жизнеобеспечения, безопасности, ландшафтами.В реализации образовательной программы задействовано более 70 преподавателей из числа научно-педагогических работников ВГТУ и специалистов проектных и производственных организаций строительного комплекса, привлекаемых к реализации ОПОП на условиях гражданско-правового договора.",0,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,187,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,
Реконструкция и реставрация архитектурного наследия,07.03.02,Бакалавриат (3++),"Очная, Заочная",Бюджетные и контрактные места,"Математика ,  Профес. исп. ,  Творч. исп. ,  Русский язык , ",-,"Основы цветовой гармонии ,  Профес. исп. ,  Творч. исп. ,  Русский язык , ","Программа:Основная образовательная программа высшего образования  «Реконструкция и реставрация архитектурного наследия» представляет собой комплект документов, разработанный и утвержденный ВГТУ с учетом рынка труда и требованиями Федерального государственного образовательного стандарта высшего образования по соответствующему направлению.Концепция программы основана на интеграции фундаментальных и прикладных знаний необходимых для изучения объектов сложившейся исторической застройки и определения их значимости в историко-культурном наследии общества, разработки методов и приемов их охраны и сохранения, выполнения коммуникативных функций между проектировщиком, заказчиком и другими заинтересованными сторонами по разъяснению и продвижению проектных решений в области реконструкции и реставрации архитектурного наследия.Программа регламентирует цели, ожидаемые результаты, содержание, условия и технологии реализации образовательного процесса, оценку качества подготовки выпускника по данному направлению .Образовательная программа включает в себя: учебный план, аннотации учебных программ дисциплин и другие материалы, обеспечивающие качество подготовки обучающихся, а также аннотации программ практик и другие материалы, обеспечивающие реализацию образовательной программы.Нормативный срок освоения образовательной программы по направлению подготовки бакалавров «Реконструкция и реставрация архитектурного наследия» - 5 лет в очной форме обучения в соответствии с ФГОС ВО по данному направлению.Наряду с освоением традиционной архитектурной деятельности, программа обучения с первого курса направлена на сохранение архитектурно-градостроительного наследия.В реализации образовательной программы задействовано 38 преподавателей из числа научно-педагогических работников ВГТУ.ТРУДОУСТРОЙСТВО: Выпускники бакалавры специальности РРАН имеют возможность трудоустройства в проектные организации и государственные органы, занимающиеся охраной историко-культурного наследия.Рынок труда для наших выпускников достаточно обширен, т.к. наш вуз единственный на весь Центрально-Черноземный регион, где готовят специалистов данного профиля и один из немногих в стране, где существует не специализация по направлению РРАН, а ведется обучение по специальности, т.е. с первого курса.Тем не менее, на регион аттестованных Министерством культуры специалистов, имеющих право работы с памятниками архитектуры, до сих пор крайне мало и поэтому потребность в специалистах данного профиля очень высока.",243,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,201,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/rran-3%2B%2B/
Дизайн архитектурной среды,07.03.03,Бакалавриат (3++),Очная - Заочная,Бюджетные и контрактные места,"Математика ,  Профес. исп. ,  Творч. исп. ,  Русский язык , ",-,"Основы цветовой гармонии ,  Профес. исп. ,  Творч. исп. ,  Русский язык , ","Дизайн как профессия существует около ста лет.Образовательный процесс направления подготовки «Дизайн архитектурной среды» построен на четырех взаимодополняющих разделах: - гуманитарный теоретический блок, в состав которого входят такие дисциплины, как история искусств, история архитектуры, история дизайна, теория архитектурно-дизайнерского проектирования и др.; - художественный блок – рисунок, живопись, архитектурно-художественное моделирование и др.; - инженерно-технический блок – конструкции, архитектурная физика, инженерное обеспечение, архитектурное освещение, предметно-пространственное наполнение среды и др. - проектный блок – основы архитектурно-дизайнерского проектирования и архитектурно-дизайнерское проектирование.Преподавание ведется специалистами с высоким уровнем квалификации и большим опытом работы в области архитектуры и дизайна.Во время обучения студенты проходят производственную практику в организациях, занимающихся разработкой и непосредственной реализацией проектов в области дизайна интерьерной среды, дизайна городской среды и благоустройства территорий, в том числе государственных и муниципальных (Департамент архитектуры и градостроительства Воронежской области, МКП «Управление главного архитектора», управы районов городского округа город Воронеж и др.).После завершения обучения по направлению подготовки  «Дизайн архитектурной среды» выпускники имеют возможность трудоустройства и профессионального роста в таких сферах деятельности как дизайн городской среды, дизайн интерьера, ландшафтный дизайн, графический дизайн и т.п.В реализации образовательной программы задействовано более 40 преподавателей из числа научно-педагогических работников ВГТУ и специалистов проектных организаций, привлекаемых к реализации ОПОП на условиях гражданско-правового договора.",173,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,179,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/das-3%2B%2B/
Градостроительное проектирование,07.03.04,Бакалавриат (3++),Заочная,Бюджетные и контрактные места,"Математика ,  Профес. исп. ,  Русский язык , ",-,"Основы цветовой гармонии ,  Профес. исп. ,  Русский язык , ","Целью образовательной программы кафедры Градостроительства является подготовка конкурентоспособных бакалавров, обладающих универсальными, общепрофессиональными и профессиональными компетенциями для кадрового обеспечения градостроительной деятельности.Концепция программы обучения кафедры Градостроительства основана на интеграции фундаментальных и прикладных знаний в области пространственной и планировочной организации территории, осуществляемая в виде территориального планирования, градостроительного зонирования, планировки территорий, архитектурно-строительного проектирования и строительства.Уникальность программ, реализуемых кафедрой Градостроительства, заключается в использовании инновационных образовательных технологий и привлечении высококвалифицированного преподавательского состава.Практика проводится на базе проектных, проектно-строительных организациях, в органах городского управления в Воронеже, городах различных регионов РФ, а также за рубежом.Студенты принимают участие в работе творческих мастерских, созданных на базе научно-исследовательского и проектного ВГТУ, в частности, в работе Научно-технического центра «Архитектура и градостроительство» Академии архитекутрно-строительного комплекса ВГТУ.Базы практик кафедры градостроительства. Область профессиональной деятельности выпускников, освоивших программу бакалавриата, включает: градостроительную проектную практику с учетом социальных, экономических, природных, инженерных факторов в виде проектов территориального планирования, генеральных планов поселений, градостроительного зонирования, планировки и застройки территории;градорегулирование или контроль за соблюдением правил землепользования и застройки с использованием информационных систем градостроительной документации, управление реализацией проектов, планов и программ.В реализации образовательной программы задействовано 14 основных преподавателей  из числа научно-педагогических работников ВГТУ и 5 преподавателей, совмещающих работу на кафедре и практическую деятельность в сфере, градостроительства, архитектуры и дизайна.",195,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,149,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/gp-3%2B%2B/
Автодорожные мосты и тоннели,08.03.01,Бакалавриат (3++),Очная 4 года,Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика ,  Химия , ","Основы организации технологических процессов в строительстве ,  Ресурсоэнергосбережение ,  Русский язык , ","Автодорожные мостовые сооружения, транспортные тоннели, являются технически сложными объектами, требующими особой подготовки специалистов в рамках отдельного профиля.Приоритетом в обучении является формирование навыков в «BIM» проектировании транспортных объектов.Так же студенты изучают особенности содержания, ремонта и реконструкции транспортных сооружений, изготовление мостовых и тоннельных конструкций.Управления федеральных и областных автомобильных дорог так же являются приоритетным направлением трудоустройства.После окончания обучения, возможно повышения уровня подготовки в магистратуре факультета.В реализации образовательной программы задействовано более 40 преподавателей из числа научно-педагогических работников ВГТУ и специалистов проектных и производственных организаций строительного комплекса, привлекаемых к реализации ОПОП на условиях гражданско-правового договора.",Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/amt-3%2B%2B/
Автомобильные дороги и мосты,08.03.01,Бакалавриат (3++),Очная 4 года,Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика ,  Химия , ","Основы организации технологических процессов в строительстве ,  Ресурсоэнергосбережение ,  Русский язык , ","Профиль «Автомобильные дороги и мосты» направления «Строительство» ориентирован на подготовку бакалавров, владеющих современными методами изысканий и проектирования автомобильных дорог и мостов, а также знаниями производства работ по строительству, эксплуатации и реконструкции транспортных сооружений.В процессе обучения приоритетом является формирование навыков в «BIM» проектировании транспортных объектов с использованием современных программных комплексов, позволяющих моделировать работу, как отдельных конструкций, так и сооружения в целом.Лабораторная база позволяет на практике изучить методы исследования дорожно-строительных материалов, способы испытаний, диагностики, оценки технического состояния дорог и мостов с целью обеспечения безопасности движения.Уровень знаний, полученных в процессе обучения, обеспечивает возможность трудоустройства в структурах Управлений автомобильных дорог федерального и областного значения.После окончания обучения, возможно повышения уровня подготовки в магистратуре факультета.В реализации образовательной программы задействовано более 40 преподавателей из числа научно-педагогических работников ВГТУ и специалистов проектных и производственных организаций строительного комплекса, привлекаемых к реализации ОПОП на условиях гражданско-правового договора.",122,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,132,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/08-03-01-str-adm/
Автомобильные дороги,08.03.01,Бакалавриат (3++),"Очная 4 года, Заочная 4 года 11 месяцев",Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика ,  Химия , ","Основы организации технологических процессов в строительстве ,  Ресурсоэнергосбережение ,  Русский язык , ","В процессе обучения студенты осваивают методы изысканий дорог, проектирования с использованием современных программных комплексов, способы испытаний, диагностики, оценки технического состояния дорог и обеспечения безопасности движения; технологию и организацию строительства, реконструкции и эксплуатации дорог, зданий и сооружений дорожного сервиса.Подготовленные и обеспеченные новыми, современными программными комплексами компьютерные классы позволяют студентам закреплять полученные знания в области автоматизированного проектирования автомобильных дорог.Основы проектирования дорог; Основы автоматизированного проектирования дорог; Технология и организация строительства дорог; Реконструкция автомобильных дорог; Геоинформационные системы в строительстве; Дорожные условия и безопасность движения; Строительство дорог в сложных условиях.Уровень знаний, полученных в процессе обучения, обеспечивает возможность трудоустройства в структурах Управлений автомобильных дорог федерального и областного значения.После окончания обучения, возможно повышения уровня подготовки в магистратуре факультета.В реализации образовательной программы задействовано более 40 преподавателей из числа научно-педагогических работников ВГТУ и специалистов проектных и производственных организаций строительного комплекса, привлекаемых к реализации ОПОП на условиях гражданско-правового договора.",Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/ad-3%2B%2B/
Водоснабжение и водоотведение,08.03.01,Бакалавриат (3++),Очная - 4 года Заочная  -  4 года 11 месяцев,Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика ,  Химия , ","Основы организации технологических процессов в строительстве ,  Ресурсоэнергосбережение ,  Русский язык , ","Студенты учатся проектировать элементы систем водоснабжения и водоотведения, определять расчетные расходы воды, разрабатывать технологические схемы очистки воды и обработки осадков, производить расчеты и чертежи элементов систем, определять, планировать и анализировать технико-экономические показатели систем, устанавливать соответствие проектных решений природоохранным требованиям, эксплуатировать сети и сооружения, оценивать техническое состояние систем, разрабатывать технологический процесс очистки природных и сточных вод, выполнять химические и микробиологические анализы по контролю качества природных и сточных вод, планировать обеспечение работ в условиях нестандартных ситуаций.-        Гидравлика систем водоснабжения и водоотведения. Образовательная программа предусматривает прохождение студентами учебной, производственной и преддипломной практики.Значительное количество долгосрочных  договоров для прохождения всех видов практик заключено между университетом и проектными организациями, компаниями сферы строительства и ЖКХ, крупными промышленными предприятиями.Регулярное прохождение практики и успешное освоение образовательной программы способствует трудоустройству выпускников не только в Центрально-Черноземном регионе, но и на территории всей страны.В реализации образовательной программы задействовано более 40 преподавателей из числа научно-педагогических работников ВГТУ и специалистов проектных и производственных организаций строительного комплекса, привлекаемых к реализации ОПОП на условиях гражданско- правового договора.",Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/vv-3%2B%2B/
Городское строительство и хозяйство,08.03.01,Бакалавриат (3++),Очная - 4 года,Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика ,  Химия , ","Основы организации технологических процессов в строительстве ,  Ресурсоэнергосбережение ,  Русский язык , ","Бакалавры получают знания в области планировочной организации городских территорий, включая реконструкцию (в том числе экологическую) населенных мест, вертикальную планировку и инженерное благоустройство городских территорий; изучают особенности эксплуатации, ремонта инженерных систем жизнеобеспечения и энергоаудита зданий;  приобретают умения регулировать  градостроительную деятельность и управлять жилищным фондом.Образовательная программа предусматривает прохождение студентами учебной, производственной и преддипломной практики.Значительное количество долгосрочных  договоров для прохождения всех видов практик заключено между университетом и проектными организациями, компаниями сферы строительства и ЖКХ, крупными промышленными предприятиями.Регулярное прохождение практики и успешное освоение образовательной программы способствует трудоустройству выпускников не только в Центрально-Черноземном регионе, но и на территории всей страны.Студенты проходят практику и в дальнейшем трудоустраиваются в следующих фирмах и проектных институтах: Айсберг-климат; Ремсельбурвод; Авент Наладочно - Внедренческое Предприятие; Интерма – Сервис; Сейлит – Воронеж; Тропик Черноземья; Хорс Гк; Центроклимат; Элавик – Робби; Цно – Химмаш; Интер - Термогаз Воронеж; Тепломаш НПО; Воронежская Вентиляторная Компания; Ворнежский Вентилятирный Завод; Mct Group; Промстрофэнерго; Строй – Арсенал; Центр Промкомплектации ТД; Специлизированный Торговый Дом на Волгоградской; Монтажное Управление Воронежское; Теплотехника; Технологии - 21 Век; Спс - Холод – Воронеж;",170,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,134,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/gsh-3%2B%2B/
Менеджмент строительных организаций,08.03.01,Бакалавриат (3++),4 года - очная,Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика ,  Химия , ","Основы организации технологических процессов в строительстве ,  Ресурсоэнергосбережение ,  Русский язык , ","Основная задача менеджера строительной организации - обеспечение эффективного управления предприятием, то есть планирование, организация, и контроль выполнения работ отдельных подразделений и предприятия в целом.Объектами профессиональной деятельности менеджера являются различные предприятия и организации, осуществляющие инженерные изыскания, проектирование, возведение, эксплуатацию, оценку и реконструкцию зданий и сооружений; инженерное обеспечение и оборудование строительных объектов и городских территорий; применение машин, оборудования и технологий для строительства и производства строительных материалов, изделий и конструкций.Реализацию образовательной программы осуществляет коллектив высокопрофессиональных преподавателей кафедры управления,   в составе которого более 90% докторов наук, кандидатов наук, профессоров и доцентов.Кафедра управления трижды признавалась лучшей кафедрой по итогам Всероссийского конкурса кафедр и образовательных программ «Экономика и Управление» (ВЭО России, г.Москва).Выпускники в зависимости от специфики компании могут занимать нижеперечисленные должности: мастер строительного объекта, производитель работ (прораб) строительства нескольких объектов, инженер проектно-технического отдела строительной организации, начальник стройки, управляющий строительством комплекса объектов, главный инженер строительной фирмы, руководитель строительной фирмы (директор, генеральный директор); инженер- проектировщик, инженер по расчету конструкций, инженер-сметчик, главный инженер проекта, руководящий проектированием объекта или группы объектов, главный специалист, руководитель проектной организации; инженер-смотритель зданий, главный инженер УКС, начальник УКС; инженер-инспектор, главный инженер, начальник отдела. Практику студенты проходят на крупных предприятиях города и области, таких как: ДОАО «Газпроектинжиниринг»,",149,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/msor-3%2B%2B/
